iter	Logloss
0	0.6890964955
1	0.6852759284
2	0.6817274678
3	0.6782545387
4	0.6748212871
5	0.6716203844
6	0.6685210018
7	0.6656876048
8	0.6628361296
9	0.6601620866
10	0.6575808324
11	0.6551900194
12	0.6527152249
13	0.650533153
14	0.6483111878
15	0.6462031214
16	0.6442342301
17	0.6422780737
18	0.6404840745
19	0.6387317787
20	0.6370813393
21	0.6354969039
22	0.6338690038
23	0.6324145709
24	0.6309096743
25	0.629561128
26	0.6283153886
27	0.6270289954
28	0.6259112145
29	0.6248469098
30	0.62371363
31	0.6226516276
32	0.6216693335
33	0.620660234
34	0.6196179055
35	0.6186065443
36	0.6177204633
37	0.6167738749
38	0.6158671262
39	0.6150765392
40	0.6142601468
41	0.6135554274
42	0.6128281986
43	0.6120193911
44	0.6112915802
45	0.6106016805
46	0.6099312388
47	0.6092750518
48	0.6087086228
49	0.6080678331
50	0.6074710705
51	0.6068399503
52	0.6062776327
53	0.605705589
54	0.6050909094
55	0.6045395772
56	0.6039944078
57	0.6035143631
58	0.6029865843
59	0.6024224467
60	0.6018896884
61	0.6016471413
62	0.6010518067
63	0.6008321417
64	0.6004568039
65	0.6002440175
66	0.5998809411
67	0.5995303336
68	0.5991050731
69	0.5989445755
70	0.5987689517
71	0.598352045
72	0.5979777004
73	0.5978467082
74	0.5977199368
75	0.5974906711
76	0.5972435947
77	0.597097735
78	0.5967049186
79	0.5966090062
80	0.5963390234
81	0.596248708
82	0.5956695534
83	0.595441029
84	0.5951734778
85	0.594838319
86	0.5944570909
87	0.594159045
88	0.5939452812
89	0.5935924898
90	0.593519811
91	0.5934675498
92	0.593417797
93	0.5931469705
94	0.5928102247
95	0.5924481002
96	0.5923884018
97	0.5919279232
98	0.5916694488
99	0.5914859889
100	0.5913327611
101	0.5909639759
102	0.5905633302
103	0.5903062106
