iter	Passed	Remaining
0	105	10871
1	233	11930
2	398	13420
3	517	12940
4	633	12545
5	752	12288
6	878	12173
7	1007	12088
8	1133	11968
9	1272	11961
10	1419	11999
11	1569	12029
12	1640	11480
13	1801	11578
14	1928	11444
15	2064	11355
16	2211	11317
17	2375	11351
18	2545	11389
19	2695	11319
20	2834	11203
21	2964	11049
22	3099	10917
23	3157	10524
24	3263	10312
25	3386	10160
26	3528	10063
27	3648	9904
28	3774	9761
29	3904	9630
30	4025	9479
31	4128	9288
32	4202	9041
33	4318	8891
34	4431	8737
35	4548	8592
36	4669	8456
37	4819	8370
38	4974	8291
39	5121	8195
40	5249	8066
41	5398	7968
42	5556	7882
43	5693	7763
44	5799	7604
45	5918	7462
46	6063	7353
47	6177	7206
48	6290	7060
49	6447	6962
50	6574	6832
51	6697	6697
52	6818	6560
53	6951	6436
54	7077	6305
55	7198	6169
56	7317	6033
57	7436	5897
58	7553	5761
59	7662	5619
60	7778	5483
61	7794	5280
62	7915	5151
63	7926	4954
64	8027	4816
65	8065	4644
66	8178	4516
67	8277	4382
68	8390	4256
69	8402	4081
70	8455	3929
71	8564	3806
72	8668	3681
73	8685	3521
74	8700	3364
75	8810	3246
76	8930	3131
77	9002	3000
78	9137	2891
79	9157	2747
80	9245	2625
81	9272	2487
82	9396	2377
83	9516	2265
84	9714	2171
85	9843	2060
86	9958	1945
87	10108	1837
88	10216	1721
89	10347	1609
90	10415	1487
91	10445	1362
92	10457	1236
93	10584	1126
94	10713	1014
95	10847	903
96	10939	789
97	11065	677
98	11203	565
99	11330	453
100	11449	340
101	11573	226
102	11698	113
103	11858	0
